step,vibration_rms,temperature_c,current_amps,machine_state
0,0.414901424590337,54.930867849414405,12.259075415240277,RUNNING
1,0.4456908956922408,54.88292331263833,11.906345217220327,RUNNING
2,0.44737638446522177,55.383717364576455,11.81221024562602,RUNNING
3,0.41627680130757894,54.76829115359377,11.813708098571897,RUNNING
4,0.40725886814698103,54.0433598776711,11.310032866994787,RUNNING
5,0.3831313741227708,54.49358443983279,12.125698933038109,RUNNING
6,0.3727592777343637,54.293848149332355,12.586259507568622,RUNNING
7,0.39322671098540396,55.03376410234396,11.430100725514617,RUNNING
8,0.38366851826424453,55.055461294854936,11.539602569031079,RUNNING
9,0.41127094055037017,54.699680655040595,11.88332250008269,RUNNING
10,0.3819488016331181,55.926139092254466,11.994601110104826,RUNNING
11,0.368268672131323,55.41127245605159,11.51166254001159,RUNNING
12,0.40626590785014266,54.02016493806011,11.468725580440628,RUNNING
13,0.40590583707607375,55.3692332899977,12.068547312475989,RUNNING
14,0.3965305515283528,54.849448152205355,11.408591203853028,RUNNING
15,0.3784046737481588,54.769680614520105,12.422848890487566,RUNNING
16,0.41030854868705385,54.118479922318635,12.129633587757919,RUNNING
17,0.38844753158751055,54.66153899984702,12.244670515536347,RUNNING
18,0.43092998567487856,55.4656400595581,11.664312990710945,RUNNING
19,0.3907236287244636,55.165631715701785,12.390218050848944,RUNNING
20,0.3856247728646413,54.90717051166809,11.557466010397588,RUNNING
21,0.3641138012775799,55.406262911197096,12.542496011428328,RUNNING
22,0.39783969635259003,55.501766448946015,12.144654410019054,RUNNING
23,0.3806464073618463,55.18069780275421,12.615214626586388,RUNNING
24,0.39892521882670146,55.782321827907005,10.952101958364102,RUNNING
25,0.4246570751312567,55.04352353411909,11.880397059813653,RUNNING
26,0.4027528232960651,54.00621554269955,11.912131244864995,RUNNING
27,0.4107133771453524,55.73894702237076,11.792691912690541,RUNNING
28,0.3757451919132044,54.749121478207734,12.36616084708083,RUNNING
29,0.40986253328979055,54.73511989811648,12.205306973245342,RUNNING
30,0.40291232648044123,55.48432249526645,11.71917876244906,RUNNING
31,0.390170135602067,54.80394592343392,11.414594020747153,RUNNING
32,0.4088836083119373,55.130527636089944,12.002045382656984,RUNNING
33,0.3929623859987456,54.29231462897479,11.831741870893856,RUNNING
34,0.38971856450419695,54.59886136538919,11.935485715333597,RUNNING
35,0.41212152570443616,55.94309295060526,12.069831125132735,RUNNING
36,0.40772651172168295,54.96277704211692,11.232491513880383,RUNNING
37,0.3992045837365235,55.03011510497051,12.985296844994114,RUNNING
38,0.39422917105656635,55.1507736711668,11.986115292117903,RUNNING
39,0.36493965887141405,55.57141140725751,12.30077321307471,RUNNING
40,0.42373095841129144,54.54530627260263,12.561117724374439,RUNNING
41,0.3579444681162316,55.29342854690014,12.87618225032399,RUNNING
42,0.3702839102460794,54.71685113519862,12.039860546035056,RUNNING
43,0.38489573037651403,54.22466828446694,12.027425189922411,RUNNING
44,0.36813088858821685,55.23679621531759,11.632230306306479,RUNNING
45,0.4464980321505262,54.60837335383188,11.87117539351773,RUNNING
46,0.4244055165210901,54.384567841783024,12.090983973841652,RUNNING
47,0.43921428262847284,54.196258382719385,12.073853543412921,RUNNING
48,0.4077964838274527,55.390911435888654,11.505219715648767,RUNNING
49,0.36038630160747176,55.26097078280845,12.118793869293274,RUNNING
50,0.40751478551037634,55.173224104748485,11.727990111368603,RUNNING
51,0.40696761091483014,55.14653623664934,11.714259432789452,RUNNING
52,0.4559732353343427,55.236916460455895,11.52347860111894,RUNNING
53,0.4196966082590149,54.51265916488634,12.31483384149698,RUNNING
54,0.43475786737022215,54.58965884082414,12.385350451697729,RUNNING
55,0.41238342780809495,55.411030079997246,12.758717193061578,RUNNING
56,0.3926383565199139,54.623131917821254,11.644194228149791,RUNNING
57,0.37552569145103687,54.961449145292946,12.136460789926657,RUNNING
58,0.4083007239799006,55.41359162451801,12.005200756751163,RUNNING
59,0.4436060223147195,54.867671583381025,13.088067666635848,RUNNING
60,0.4187700204329502,54.57142122179186,11.571643000775556,RUNNING
61,0.41447417245729556,54.888268607337075,12.285600197636837,RUNNING
62,0.4141971287372064,54.96358554367156,11.661282512772638,RUNNING
63,0.35455458325942407,54.77674252396649,12.34255951772939,RUNNING
64,0.40642281232390615,54.37713061064401,12.069272370340473,RUNNING
65,0.41155952139186514,54.55807128189943,12.06149004237821,RUNNING
66,0.40174626155338,54.428514851084685,12.143114944139313,RUNNING
67,0.41682353579104703,55.54152562158764,12.421520820813962,RUNNING
68,0.3586699189612873,54.53108748004244,12.206014106883464,RUNNING
69,0.41541357852736627,55.257523843153024,13.541092596261889,RUNNING
70,0.41712671532079504,55.5677828200903,12.38160070539728,RUNNING
71,0.41954173753917395,54.842365377679826,12.303587688197307,RUNNING
72,0.37681524356387286,54.88159069663,11.805854580868358,RUNNING
73,0.4024562241815897,56.15732928333676,11.2530939229633,RUNNING
74,0.42058780571123544,54.193642064405175,11.811227253684226,RUNNING
75,0.432668517909021,55.03214000954773,11.568902088828278,RUNNING
76,0.378540888722201,55.33979887446734,11.707853347313145,RUNNING
77,0.40649375768745927,55.02278591995191,11.739359860957673,RUNNING
78,0.4643183226797598,55.316959511159006,11.189942965336957,RUNNING
79,0.40559362944308286,54.66910676761581,12.34097333391849,RUNNING
80,0.376224377847019,54.94263177926655,12.201994911592182,RUNNING
81,0.4259726558251037,54.39985179647211,11.866199505663621,RUNNING
82,0.3857516406651713,54.673335383713145,12.706181696112438,RUNNING
83,0.4121494513288287,54.36955802283248,12.36714477882191,RUNNING
84,0.463664685910379,55.516232630275574,11.392252013618394,RUNNING
85,0.38547297781401246,55.63345557459331,11.716932213752488,RUNNING
86,0.4133145828443869,55.38731702671467,11.629227811368766,RUNNING
87,0.39821423931814603,53.379366329965464,11.590244943466285,RUNNING
88,0.3924229554582052,54.376108409017576,12.652964521572654,RUNNING
89,0.35709575866118104,54.779977756651505,12.052296230914436,RUNNING
90,0.4432381986719835,54.28206892441028,12.465265500861983,RUNNING
91,0.40030699183058766,54.50924567447603,12.184841389705309,RUNNING
92,0.40597179086720414,54.6998915614206,12.027920833996008,RUNNING
93,0.3884405920941472,55.05675867262563,12.264852269808419,RUNNING
94,0.4475805044843606,54.381092250586576,12.853213349862507,RUNNING
95,0.34143736601432495,54.92410745248221,12.235326882593831,RUNNING
96,0.408429756032051,54.6886502400897,11.91675109985709,RUNNING
97,0.38520997196023504,54.7053176215279,12.33984083880841,RUNNING
98,0.41071046457895144,54.65354520236967,12.359839950173301,RUNNING
99,0.4092189856262983,55.40643105941948,12.251851536769445,RUNNING
100,0.3751301496723379,54.71990947990152,12.298917442049305,RUNNING
101,0.41831110796300397,54.98954920301792,12.046930953323512,RUNNING
102,0.4383299468736528,54.704214305582084,12.218838952468015,RUNNING
103,0.39393422042698323,54.89115939838639,12.439510740794876,RUNNING
